,Interface,Remote_Interface
0,switch1[GigabitEthernet1/0/1],host11[eth0]
1,host11[eth0],switch1[GigabitEthernet1/0/1]
2,switch1[GigabitEthernet1/0/2],host12[eth0]
3,host12[eth0],switch1[GigabitEthernet1/0/2]
4,switch2[GigabitEthernet1/0/3],host13[eth0]
5,host13[eth0],switch2[GigabitEthernet1/0/3]
6,switch2[GigabitEthernet1/0/4],host14[eth0]
7,host14[eth0],switch2[GigabitEthernet1/0/4]
8,switch1[GigabitEthernet1/0/5],host21[eth0]
9,host21[eth0],switch1[GigabitEthernet1/0/5]
10,switch1[GigabitEthernet1/0/6],host22[eth0]
11,host22[eth0],switch1[GigabitEthernet1/0/6]
12,switch2[GigabitEthernet1/0/7],host23[eth0]
13,host23[eth0],switch2[GigabitEthernet1/0/7]
14,switch2[GigabitEthernet1/0/8],host24[eth0]
15,host24[eth0],switch2[GigabitEthernet1/0/8]
16,switch1[GigabitEthernet1/0/23],switch2[GigabitEthernet1/0/23]
17,switch2[GigabitEthernet1/0/23],switch1[GigabitEthernet1/0/23]
18,switch1[GigabitEthernet1/0/24],switch2[GigabitEthernet1/0/24]
19,switch2[GigabitEthernet1/0/24],switch1[GigabitEthernet1/0/24]
